cpu_percent,read_count,write_count
28.6,471545,459284
33.7,471545,459284
25.9,471545,459284
27.0,471545,459353
31.5,471545,459353
28.1,471546,459353
26.7,471546,459353
43.9,471546,459353
27.3,471546,459353
28.1,471546,459355
31.3,471546,459355
26.2,471546,459356
28.2,471546,459356
32.8,471546,459357
26.5,471546,459357
26.0,471546,459357
32.2,471546,459357
27.2,471546,459357
29.4,471546,459358
31.8,471546,459358
31.8,471546,459361
26.5,471546,459362
28.8,471546,459362
33.0,471546,459364
27.8,471546,459364
27.0,471546,459364
32.4,471546,459364
26.5,471546,459364
26.0,471546,459364
32.5,471546,459364
26.9,471546,459367
26.0,471546,459367
42.3,471546,459368
31.7,471546,459371
30.2,471546,459371
31.1,471546,459371
30.7,471546,459371
28.4,471546,459371
31.1,471546,459371
30.7,471546,459371
29.1,471546,459371
31.8,471546,459374
30.5,471546,459374
27.0,471546,459375
30.0,471546,459376
29.8,471546,459376
31.2,471546,459376
30.5,471546,459376
27.6,471546,459376
31.5,471546,459376
31.5,471546,459377
29.9,471546,459380
28.9,471546,459380
29.0,471546,459381
26.8,471546,459416
29.7,471546,459416
28.9,471546,459416
28.9,471546,459416
30.3,471546,459416
26.4,471546,459416
30.2,471546,459416
28.0,471546,459417
28.3,471546,459418
28.6,471546,459418
27.5,471546,459419
32.0,471546,459419
29.6,471546,459419
26.1,471546,459419
28.9,471546,459419
28.5,471546,459419
27.0,471546,459419
29.4,471546,459419
29.1,471546,459422
26.1,471546,459422
30.3,471549,459423
31.0,471549,459423
26.7,471549,459423
26.6,471550,459423
30.7,471550,459423
25.1,471550,459423
28.2,471550,459423
31.2,471550,459423
27.1,471550,459426
25.6,471550,459426
29.8,471550,459426
26.5,471550,459428
26.9,471550,459428
32.2,471550,459428
25.1,471550,459428
27.1,471550,459428
32.2,471550,459428
26.5,471550,459428
36.3,471550,459431
30.7,471550,459431
28.4,471550,459431
25.8,471550,459472
27.0,471550,459472
30.5,471550,459472
26.0,471550,459472
26.3,471550,459472
31.3,471550,459472
26.5,471550,459472
26.6,471550,459472
31.5,471550,459475
26.0,471550,459475
27.5,471550,459476
35.5,471550,459477
27.9,471550,459477
29.1,471550,459477
36.2,471550,459477
28.5,471550,459477
27.8,471550,459477
32.7,471550,459477
27.1,471550,459480
29.9,471550,459480
30.5,471550,459480
32.7,471550,459481
25.9,471550,459481
32.1,471550,459481
29.6,471550,459481
27.6,471550,459481
30.7,471550,459481
31.2,471550,459481
29.5,471550,459481
32.7,471550,459483
32.0,471550,459483
29.3,471550,459484
28.4,471550,459484
26.9,471550,459484
28.1,471550,459484
28.6,471550,459484
32.3,471552,459484
30.5,471552,459484
29.0,471552,459484
32.0,471552,459488
31.2,471552,459488
27.4,471552,459488
31.2,471552,459490
28.5,471552,459490
26.9,471552,459490
29.6,471552,459490
30.0,471552,459490
28.1,471553,459490
31.7,471553,459490
29.6,471553,459490
27.6,471553,459493
38.9,471553,459493
31.2,471553,459493
31.0,471553,459493
29.9,471553,459493
30.0,471553,459493
31.0,471553,459493
29.5,471553,459493
27.5,471553,459498
33.0,471553,459498
30.8,471553,459498
29.3,471553,459498
29.5,471553,459499
30.0,471553,459499
26.6,471553,459499
29.4,471553,459499
10.5,471553,459499
6.5,471553,459499
1.5,471553,459499
5.5,471553,459501
6.0,471553,459501
4.5,471555,459501
3.0,471555,459548
12.9,471555,459548
2.0,471555,459548
6.9,471555,459548
5.1,471555,459563
2.0,471562,459563
4.0,471563,459563
8.6,471563,459563
9.2,471563,459563
6.6,471564,459563
5.1,471564,459563
10.2,471567,459566
6.9,471567,459566
20.6,471567,459566
